categoria,marca,modelo,versao,motor,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,4","10,5","12,1","14,9",2023
Médio,VW,POLO,MPI,1.0-12V,M - 5,S,E,F,"9,6","10,9","14,0","15,4",2023
Médio,VW,POLO,TSI MANUAL,1.0-12V,M - 5,S,E,F,"9,6","11,5","14,0","16,4",2023
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,"8,0","9,8","11,4","14,1",2023
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO (AD),1.4-16V,A - 6,S,E,F,"8,0","9,8","11,4","14,1",2023
Médio,VW,POLO,TRACK MPI,1.0-12V,M - 5,S,E,F,"9,3","10,5","13,5","15,0",2023
Médio,VW,POLO,TRACK FIRST EDITION,1.0-12V,M - 5,S,E,F,"9,3","10,5","13,5","15,0",2023
Médio,VW,POLO,TSI MANUAL (MY24),1.0-12V,M - 5,S,E,F,"9,5","11,3","13,7","16,1",2023
Médio,VW,POLO,COMFORTLINE TSI AUT.(MY24),1.0-12V,A - 6,S,E,F,"8,5","10,6","12,5","15,1",2023
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO (MY24),1.0-12V,A - 6,S,E,F,"8,5","10,4","12,3","14,6",2023
Médio,VW,POLO,SENSE TSI AUT.(MY24),1.0-12V,A - 6,S,E,F,"8,5","10,6","12,5","15,1",2023
Médio,VW,POLO,TRACK MPI (MY24),1.0-12V,M - 5,S,E,F,"9,4","10,8","13,7","15,2",2023
Médio,VW,POLO,MPI (MY24),1.0-12V,M - 5,S,E,F,"9,4","10,8","13,7","15,2",2023
Médio,VW,POLO,GTS 250TSI AUT.(MY24),1.4-16V,A - 6,S,E,F,"8,1","9,8","11,6","13,8",2023
Médio,VW,VIRTUS,GTS 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,"8,0","10,0","11,9","14,7",2023
Médio,VW,VIRTUS,TSI MANUAL,1.0-12V,M - 5,S,E,F,"9,2","11,3","13,5","15,9",2023
Médio,VW,VIRTUS,TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,5","10,7","12,2","15,2",2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUT. (MY24),1.0-12V,A - 6,S,E,F,"8,2","10,4","11,8","15,0",2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,2","10,4","11,8","15,0",2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,2","10,4","11,8","15,0",2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,2","10,4","11,8","15,0",2023
Médio,VW,VIRTUS,TSI AUTOMÁTICO (MY24),1.0-12V,M - 5,S,E,F,"8,9","10,8","12,5","15,4",2023
Médio,VW,VIRTUS,TSI MANUAL (MY24),1.0-12V,A - 6,S,E,F,"8,4","10,5","12,1","14,8",2023
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUT. (MY24),1.0-12V,A - 6,S,E,F,"8,3","10,2","12,1","14,4",2023
Médio,VW,VIRTUS,HIGHLINE 200TSI AUT. (MY24),1.0-12V,A - 6,S,E,F,"8,3","10,2","12,1","14,4",2023
Médio,VW,VIRTUS,EXCLUSIVE 250TSI AUT.(MY24),1.4-16V,A - 6,S,E,F,"8,1","9,9","11,7","14,0",2023
Médio,VW,VOYAGE,MPI,1.0-12V,M - 5,S,H,F,"9,5","10,9","13,8","15,6",2023
Grande,AUDI,A3 Sedan,S line,2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,6",2023
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,6",2023
Grande,BYD,D1,GL 180EV,ELÉTRICO,N.A.,S,E,E,\,\,\,\,2023
Grande,BYD,D1,GS 180EV,ELÉTRICO,N.A.,S,E,E,\,\,\,\,2023
Grande,BMW,218i,-,1.5 - 12V,DCT-7,S,E,G,\,\,"11,2","13,6",2023
Grande,BMW,iX1,xDrive30,Elétrico,A,S,E,E,\,\,\,\,2023
Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,CVT,S,E,F,"7,4","9,2","10,6","13,4",2023
Grande,CAOA CHERY,ARRIZO 6,PRO H,1.5T -16V,CVT,S,E,F,"8,9","9,9","12,5","13,5",2023
Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,A-6,S,E,F,"6,8","9,2","10,1","13,1",2023
Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,A-7,S,E,F,"6,8","9,2","10,1","13,1",2023
Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,A-8,S,E,F,"6,8","9,2","10,1","13,1",2023
Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,A-9,S,E,F,"6,8","9,2","10,1","13,1",2023
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,A-10,S,E,F,"6,8","9,2","10,1","13,1",2023
Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,7","10,5","13,9",2023
Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,A-7,S,E,F,"7,1","9,7","10,5","13,9",2023
Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,A-8,S,E,F,"7,1","9,7","10,5","13,9",2023
Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,A-9,S,E,F,"7,1","9,7","10,5","13,9",2023
Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,A-10,S,E,F,"7,1","9,7","10,5","13,9",2023
Grande,HONDA,CIVIC HYBRID,TOURING,2.0 - 16V,CVT,S,E,G,\,\,"18,3","15,9",2023
Grande,HONDA,ZR-V,TOURING,2.0 - 16V,CVT,S,E,G,\,\,"10,2","12,1",2023
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,A-6,S,E,G,\,\,"11,5","11,2",2023
Grande,KIA,NIRO,HEV EX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2023
Grande,KIA,NIRO,HEV LX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2023
Grande,KIA,NIRO,HEV SX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2023
Grande,LEXUS,UX250H,LUXURY,2.0 - 16V,CVT,S,E,G,\,\,"16,6","14,7",2023
Grande,LEXUS,UX250H,DYNAMIC,2.0 - 16V,CVT,S,E,G,\,\,"16,6","14,7",2023
Grande,MASERATI,GHIBLI,GT HYB,"2,0L-16V",A-8,S,E,G,\,\,"8,0","10,4",2023
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,DCT-7,S,E,G,\,\,"11,1","13,6",2023
Grande,NISSAN,LEAF,TEKNA,ELÉTRICO,A,S,E,E,\,\,\,\,2023
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,CVT,S,E,F,"11,8","9,7","17,8","14,7",2023
