Categoria,Marca,Modelo,Versão,Motor,"Tipo
Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,44,448,3,B,0,95,\,"8,4","12,2","12,3","16,8",\,\,"1,53",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,44,448,3,B,0,95,\,"8,4","12,2","12,3","16,8",\,\,"1,53",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,45,216,4,B,0,95,\,"8,4","12,2","12,3","16,8",\,\,"1,53",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY24,1.0 - 12 V,Combustão,M-6,S,E,F,35,378,3,B,0,88,\,"9,3","12,0","13,5","17,4",\,\,"1,42",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY24,1.0 - 12 V,Combustão,M-6,S,E,F,35,378,3,B,0,88,\,"9,3","12,0","13,5","17,4",\,\,"1,42",\,A,B,SIM,2,2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,F,42,458,4,C,0,98,\,"8,6","11,1","12,1","15,8",\,\,"1,58",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT NB,1.0T - 12 V,Combustão,A-6,S,E,F,42,458,4,C,0,98,\,"8,6","11,1","12,1","15,8",\,\,"1,58",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,F,42,458,4,C,0,98,\,"8,6","11,1","12,1","15,8",\,\,"1,58",\,B,B,-,2,2023
Médio,CHEVROLET,ONIX PLUS (MY24.5),10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,F,42,458,4,C,0,98,\,"8,6","11,1","12,1","15,8",\,\,"1,58",\,B,B,-,2,2023
Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,F,33,351,2,B,0,125,\,"6,9","8,6","9,8","12,3",\,\,"2,02",\,E,C,-,2,2023
Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,F,33,351,2,B,0,125,\,"6,9","8,6","9,8","12,3",\,\,"2,02",\,E,C,-,2,2023
