categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
médio,ford,ka+ (4 portas),1.516v,sel,m5,sim,elétrica,flex,7.9,9.5,11.5,13.6,2015
médio,honda,city,1.516v,dx,m5,sim,elétrica,flex,8.6,10.3,12.4,14.6,2015
médio,honda,city,1.516v,lx,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,honda,city,1.516v,ex,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,honda,city,1.516v,exl,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2015
médio,hyundai,i30,1.816v,"1,8",a6,sim,elétrica,gasolina,0.0,0.0,9.2,11.8,2015
médio,hyundai,elantra,2.016v,,a6,sim,elétrica,flex,6.3,9.1,9.5,13.4,2015
médio,hyundai,i30,2.016v,"2,0",a4,sim,hidráulica,gasolina,0.0,0.0,8.9,10.1,2015
médio,hyundai,i30,2.016v,"2,0",m5,sim,hidráulica,gasolina,0.0,0.0,8.9,10.2,2015
médio,hyundai,i30,1.616v,,a6,sim,elétrica,flex,6.8,8.5,9.3,11.6,2015
médio,hyundai,hb20s,1.012v,comfort,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.012v,plus,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.012v,style,m5,sim,hidráulica,flex,8.6,10.0,12.3,14.4,2015
médio,hyundai,hb20s,1.616v,comfort,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,hyundai,hb20s,1.616v,plus,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,hyundai,hb20s,1.616v,style,m5,sim,hidráulica,flex,7.9,9.3,11.5,12.9,2015
médio,lexus,ct200h,1.816v,ct200h,contínua,sim,elétrica,gasolina,0.0,0.0,15.7,14.2,2015
médio,lexus,ct200h,1.816v,f sport,contínua,sim,elétrica,gasolina,0.0,0.0,15.7,14.2,2015
médio,mercedesbenz,a45 amg 4m,2.016v,,dct7,sim,elétrica,gasolina,0.0,0.0,7.6,10.6,2015
médio,mercedesbenz,b200,1.616v,,dct7,sim,elétrica,gasolina,0.0,0.0,9.2,13.0,2015
médio,nissan,new versa,1.012v,s,m5,sim,elétrica,flex,8.5,10.4,12.6,15.2,2015
médio,nissan,new versa,1.616v,sv,m5,sim,elétrica,flex,8.6,10.2,12.4,14.8,2015
médio,nissan,new versa,1.616v,sl,m5,sim,elétrica,flex,8.6,10.2,12.4,14.8,2015
médio,nissan,new versa,1.616v,unique,m5,sim,elétrica,flex,8.6,10.2,12.4,14.8,2015
médio,nissan,versa,1.616v,s flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,nissan,versa,1.616v,sv flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,nissan,versa,1.616v,sl flex,m5,sim,elétrica,flex,7.8,9.3,11.7,13.9,2015
médio,renault,novo logan,1.016v,authentique,m5,sim,hidráulica,flex,8.1,9.2,11.9,13.4,2015
médio,renault,novo logan,1.016v,expression,m5,sim,hidráulica,flex,8.1,9.2,11.9,13.4,2015
médio,renault,novo logan,1.68v,expression,m5,sim,hidráulica,flex,7.3,8.7,10.6,12.5,2015
médio,renault,novo logan,1.68v,dynamique,m5,sim,hidráulica,flex,7.3,8.7,10.6,12.5,2015
médio,subaru,impreza,2.016v,xv,contínua,sim,elétrica,gasolina,0.0,0.0,9.6,11.6,2015
médio,toyota,prius,1.816v,,contínua,sim,elétrica,gasolina,0.0,0.0,15.7,14.3,2015
médio,toyota,etios sedan,1.516v,x,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
médio,toyota,etios sedan,1.516v,xs,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
médio,toyota,etios sedan,1.516v,xls,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
médio,toyota,etios sedan,1.516v,platinum,m5,sim,elétrica,flex,8.5,9.5,12.2,13.8,2015
médio,volvo,v40,2.016v,t4 comfort,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.1,9.5,2015
médio,volvo,v40,2.016v,t4 dynamic,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.1,9.5,2015
médio,volvo,v40,2.016v,t4 top,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.1,9.5,2015
médio,volvo,v40,2.016v,t4 rdesing,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.1,9.5,2015
médio,volvo,v40,2.016v,t5 top,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.3,8.8,2015
médio,volvo,v40,2.016v,t5 rdesign,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.3,8.8,2015
médio,volvo,v40,2.016v,t5 dynamic,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.3,8.8,2015
médio,volvo,v40,2.016v,t5 comfort,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.3,8.8,2015
médio,volvo,v40,2.016v,cc t5awdcom,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.5,9.9,2015
médio,volvo,v40,2.016v,cc t5awdtop,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.5,9.9,2015
médio,volvo,v40,2.016v,cc t5awddyn,a6,sim,eletro-hidráulica,gasolina,0.0,0.0,7.5,9.9,2015
médio,volvo,v40,2.016v,"2,0t5comfortdrive e",a8,sim,eletro-hidráulica,gasolina,0.0,0.0,8.8,12.1,2015
