categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,106,"8,0","10,0","11,6",1
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,101,"8,4","10,5","12,1",1
Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,S,E,90,"9,6","10,9","14,0",1
Médio,VW,POLO,TSI MANUAL,1.0-12V,Combustão,M - 5,S,E,88,"9,6","11,5","14,0",1
Médio,VW,POLO,COMFORTLINE TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,97,"8,7","10,8","12,5",1
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,S,E,114,"8,3","10,5","12,0",1
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,S,E,114,"8,3","10,5","12,0",1
Médio,VW,VIRTUS,GTS 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,S,E,102,"8,0","10,0","11,9",1
Médio,VW,VOYAGE,MPI,1.0-12V,Combustão,M - 5,S,H,91,"9,5","10,9","13,8",1
Grande,AUDI,A3 Sedan,S line,2.0 - 16V,Híbrido,A-7,S,E,121,\,\,"10,2",1
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,121,\,\,"10,2",1
Grande,BMW,218i,-,1.5 - 12V,Combustão,DCT-7,S,E-H,110,\,\,"11,2",1
Grande,BMW,X1,S20i ActiveFlex,2.0 - 16V,Combustão,A-8,S,E-H,126,"6,8","8,4","9,8",1
Grande,BMW,X1,sDrive 20i X Line,2.0 - 16V,Combustão,A-8,S,E-H,130,"6,7","8,3","9,5",1
Grande,BMW,X1,sDrive 20i M Sport,2.0 - 16V,Combustão,A-8,S,E-H,130,"6,7","8,3","9,5",1
Grande,CAOA CHERY,ARRIZO 5 E,E,Elétrico,Elétrico,A,S,E,0,"27,5","24,2","39,3",1
Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,Combustão,CVT,S,E,115,"7,4","9,2","10,6",1
Grande,CAOA CHERY,ARRIZO 6,PLUS,1.5T -16V,Combustão,CVT,S,E,115,"7,4","9,2","10,6",1
Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,Combustão,A-6,S,E,113,"7,1","9,6","10,5",1
Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,Combustão,A-6,S,E,113,"7,1","9,6","10,5",1
Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,Combustão,A-6,S,E,113,"7,1","9,6","10,5",1
Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,Combustão,A-6,S,E,113,"7,1","9,6","10,5",1
Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,Combustão,A-6,S,E,113,"7,1","9,6","10,5",1
Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,Combustão,A-6,S,E,117,"7,0","9,2","10,4",1
Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,Combustão,A-6,S,E,117,"7,0","9,2","10,4",1
Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,Combustão,A-6,S,E,117,"7,0","9,2","10,4",1
Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,Combustão,A-6,S,E,117,"7,0","9,2","10,4",1
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,Combustão,A-6,S,E,117,"7,0","9,2","10,4",1
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,Plug-in,A-6,S,E,47,\,\,"25,4",1
Grande,KIA,NIRO,HEV 1.6 EX,1.6 - 16V,Híbrido,DCT-6,S,E,68,\,\,"19,8",1
Grande,KIA,NIRO,HEV 1.6 LX,1.6 - 16V,Híbrido,DCT-6,S,E,68,\,\,"19,8",2
Grande,KIA,NIRO,HEV 1.6 SX,1.6 - 16V,Híbrido,DCT-6,S,E,68,\,\,"19,8",2
Grande,Lexus,UX250H,LUXURY,2.0 - 16V,Híbrido,CVT,S,E,82,\,\,"16,6",2
Grande,Lexus,UX250H,DYNAMIC,2.0 - 16V,Híbrido,CVT,S,E,82,\,\,"16,6",2
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,Combustão,DCT-7,S,E,110,\,\,"11,1",2
Grande,NISSAN,LEAF,TEKNA,Elétrico,Elétrico,A,S,E,0,\,\,"38,7",2
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,Híbrido,CVT,S,E,79,"11,8","9,7","17,8",2
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,1.8 - 16V,Híbrido,CVT,S,E,79,"11,8","9,7","17,8",2
Grande,TOYOTA,COROLLA CROSS,XRE 20,2.0 - 16V,Combustão,CVT,S,E,109,"8,2","9,0","11,7",2
Grande,TOYOTA,COROLLA CROSS,XR 20,2.0 - 16V,Combustão,CVT,S,E,109,"8,2","9,0","11,7",2
Grande,TOYOTA,COROLLA,APREMIUMH,1.8 - 16V,Híbrido,CVT,S,E,77,"11,8","10,5","17,9",2
Grande,TOYOTA,COROLLA,ALTIS HV,1.8 - 16V,Híbrido,CVT,S,E,77,"11,8","10,5","17,9",2
Grande,TOYOTA,COROLLA,XEI 20,2.0 - 16V,Combustão,CVT,S,E,103,"8,3","9,8","11,9",2
Grande,TOYOTA,COROLLA,GLI 20,2.0 - 16V,Combustão,CVT,S,E,103,"8,3","9,8","11,9",2
