categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
grande,toyota,corolla,1.8-16v,gli,m-6,sim,elétrica,flex,7.3,9.1,10.7,13.2,2017
grande,toyota,corolla,1.8-16v,gli,contínua,sim,elétrica,flex,7.8,9.2,11.4,13.2,2017
grande,toyota,corolla,2.0-16v,altis / xei / dymamic,contínua,sim,elétrica,flex,7.2,8.8,10.6,12.6,2017
grande,honda,civic,2.0-16v,ex / ex-l / sport,contínua,sim,elétrica,flex,7.2,8.9,10.5,12.9,2017
grande,honda,civic,1.5t-16v,touring,contínua,sim,elétrica,gasolina,0.0,0.0,11.8,14.4,2017
utilitárioesportivocompacto,nissan,kicks,1.6 - 16v,16 sl,contínua,sim,elétrica,flex,8.1,9.6,11.4,13.7,2017
microcompacto,fiat,mobi,1.0-6v,drive,m-5,sim,elétrica,flex,9.6,11.3,13.7,16.1,2018
microcompacto,fiat,mobi,1.0-6v,drive gsr,mta-5,sim,elétrica,flex,9.8,11.1,14.0,15.9,2018
microcompacto,fiat,mobi,1.0-8v,easy,m-5,não,hidráulica,flex,9.2,10.2,13.5,15.2,2018
microcompacto,fiat,mobi,1.0-8v,like,m-5,sim,hidráulica,flex,8.8,9.9,12.7,14.3,2018
microcompacto,fiat,mobi,1.0-8v,way,m-5,sim,hidráulica,flex,8.7,9.7,12.6,14.2,2018
microcompacto,kia,picanto,1.0 - 12v,ex5/ lx5 1.0 ff mt,m-5,sim,elétrica,flex,7.9,10.3,11.6,15.0,2018
microcompacto,kia,picanto,1.0 - 12v,ex5/ lx5 1.0 ff at,a-4,sim,elétrica,flex,8.1,9.9,11.4,14.7,2018
compacto,honda,fit,1.5-16v,dx / lx,m-5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2018
compacto,honda,fit,1.5-16v,dx / lx / ex / exl / personal,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2018
compacto,volkswagen,gol,1.0-12v,trendline/ city,m-5,sim,hidráulica,flex,8.9,10.4,13.1,14.9,2018
compacto,volkswagen,gol,1.0-12v,track,m-5,sim,hidráulica,flex,8.6,10.0,12.7,14.3,2018
compacto,volkswagen,gol,1.6-8v,trendline,m-5,sim,hidráulica,flex,7.9,9.7,11.5,14.0,2018
compacto,volkswagen,gol,1.6-8v,comfortline,m-5,sim,hidráulica,flex,7.8,9.5,11.1,13.6,2018
compacto,volkswagen,gol,1.6-8v,comfortline (i-motion),mta-5,sim,hidráulica,flex,7.7,9.2,11.1,13.1,2018
compacto,peugeot,208,1.6 thp16v flex,gt,m-6,sim,elétrica,flex,8.2,9.5,12.0,13.8,2018
compacto,peugeot,208,1.6 16v,sport mt / griffe mt,m-5,sim,elétrica,flex,8.5,10.0,12.3,14.0,2018
compacto,peugeot,208,1.6 16v,griffe eat6 / allure eat6 /ubtech eat6,a-6,sim,elétrica,flex,7.7,9.3,11.0,13.2,2018
compacto,peugeot,208,1.2,active mt / act pack mt / allure mt,m-5,sim,elétrica,flex,9.6,10.7,13.9,15.5,2018
compacto,citroën,c3,1.6 16v,attraction a / exclusive a /tendance a / urban tech,a-6,sim,elétrica,flex,7.6,9.3,10.9,13.2,2018
compacto,citroën,c3,1.2,origine / attraction / tendance / mstyle / urban tech,m-5,sim,elétrica,flex,9.3,10.1,13.2,14.8,2018
compacto,fiat,argo,1.0-6v,drive,m-5,sim,elétrica,flex,9.9,10.7,14.2,15.1,2018
compacto,fiat,argo,1.3-8v,drive,m-5,sim,elétrica,flex,9.2,10.2,12.9,14.3,2018
compacto,fiat,argo,1.3-8v,drive gsr,mta-5,sim,elétrica,flex,8.9,10.0,12.7,14.4,2018
compacto,fiat,argo,1.8-16v,hgt,a-6,sim,elétrica,flex,6.9,9.1,10.0,12.8,2018
compacto,fiat,argo,1.8-16v,hgt,m-5,sim,elétrica,flex,7.8,9.2,11.4,13.3,2018
compacto,fiat,argo,1.8-16v,precision,a-6,sim,elétrica,flex,7.1,9.5,10.1,13.2,2018
compacto,fiat,argo,1.8-16v,precision,m-5,sim,elétrica,flex,8.0,9.6,11.5,13.8,2018
compacto,renault,sandero,1.0-12v,authentique / expression,m5,sim,eletro-hidráulica,flex,9.5,9.6,14.2,14.1,2018
compacto,renault,sandero,1.6-16v,dynamique / expression,m5,sim,eletro-hidráulica,flex,8.6,9.2,12.8,13.4,2018
compacto,renault,sandero,1.6-16v,expression / dynamique,mta-5,sim,eletro-hidráulica,flex,8.1,8.8,11.8,12.8,2018
compacto,renault,sandero,1.6-16v,gt line,m5,sim,eletro-hidráulica,flex,8.4,8.9,12.5,13.0,2018
compacto,hyundai,hb20,1.0-12v,comfort / plus / style,m-5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2018
compacto,hyundai,hb20,1.6-16v,plus / style,m-6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2018
compacto,hyundai,hb20,1.6-16v,plus / style,a-6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2018
compacto,hyundai,hb20,1.0-12vturbo,plus / style,m-6,sim,hidráulica,flex,8.2,10.1,11.6,14.3,2018
médio,toyota,yaris,1.3 - 16v,xl,m-6,sim,elétrica,flex,8.4,10.0,12.1,14.2,2018
médio,toyota,yaris,1.3 - 16v,xl / xplus,contínua,sim,elétrica,flex,9.0,9.9,13.1,14.2,2018
médio,toyota,yaris,1.5 - 16v,xs,m-6,sim,elétrica,flex,8.2,9.8,11.8,14.1,2018
médio,toyota,yaris,1.5 - 16v,xs / xls,contínua,sim,elétrica,flex,8.8,10.0,12.6,13.8,2018
médio,toyota,yaris,1.5 - 16v,xs / xl,m-6,sim,elétrica,flex,8.3,10.1,12.0,14.6,2018
médio,toyota,yaris,1.5 - 16v,xs / xl / xls / xplus,contínua,sim,elétrica,flex,9.0,10.6,13.0,14.5,2018
médio,honda,city,1.5-16v,dx,m-5,sim,elétrica,flex,8.6,10.3,12.4,14.6,2018
médio,honda,city,1.5-16v,dx / lx / ex / exl / personal,contínua,sim,elétrica,flex,8.5,10.3,12.3,14.5,2018
médio,volkswagen,voyage,1.0-12v,trendline/ city,m-5,sim,hidráulica,flex,8.9,10.7,13.1,15.3,2018
médio,volkswagen,voyage,1.0-12v,comfortline,m-5,sim,hidráulica,flex,8.6,10.2,12.7,14.8,2018
médio,volkswagen,voyage,1.6-8v,trendline,m-5,sim,hidráulica,flex,7.9,10.0,11.5,14.5,2018
médio,volkswagen,voyage,1.6-8v,comfortline/ highline,m-5,sim,hidráulica,flex,8.0,9.9,11.6,14.1,2018
médio,volkswagen,voyage,1.6-8v,comfortline (i-motion)/ highline (i-motion),mta-5,sim,hidráulica,flex,7.8,9.5,11.2,13.5,2018
médio,volkswagen,polo,1.0-12v,"200 tsi comfortline (r15"")",a-6,sim,elétrica,flex,8.0,9.8,11.6,14.1,2018
médio,volkswagen,polo,1.0-12v,"200 tsi comfortline (r16"") /200 tsi highline",a-6,sim,elétrica,flex,7.9,9.5,11.4,13.9,2018
médio,fiat,cronos,1.3 – 8v,drive,m-5,sim,elétrica,flex,8.5,10.3,12.4,14.8,2018
médio,fiat,cronos,1.3 – 8v,drive gsr,mta-5,sim,elétrica,flex,8.8,10.4,12.7,14.8,2018
médio,fiat,cronos,1.8 - 16v,precision,m-5,sim,elétrica,flex,8.0,9.6,11.6,13.8,2018
médio,fiat,cronos,1.8 - 16v,precision,a-6,sim,elétrica,flex,7.2,9.6,10.3,13.3,2018
médio,fiat,cronos,1.8 - 16v,drive,a-6,sim,elétrica,flex,7.2,9.6,10.3,13.3,2018
médio,renault,logan,1.6-16v,dynamique / expression,mta-5,sim,eletro-hidráulica,flex,7.9,9.1,11.8,13.4,2018
médio,renault,logan,1.0-12v,authentique / expression,m5,sim,eletro-hidráulica,flex,9.4,10.2,14.0,14.9,2018
médio,renault,logan,1.6-16v,dynamique / expression,m5,sim,eletro-hidráulica,flex,8.7,9.7,13.0,14.1,2018
médio,hyundai,hb20s,1.0-12v,plus / style,m-5,sim,hidráulica,flex,8.5,9.8,12.0,14.0,2018
médio,hyundai,hb20s,1.6-16v,plus / style,m-6,sim,hidráulica,flex,8.1,9.8,11.5,14.0,2018
médio,hyundai,hb20s,1.6-16v,plus / style / premium,a-6,sim,hidráulica,flex,7.0,9.3,10.2,12.9,2018
médio,hyundai,hb20s,1.0-12vturbo,plus / style,m-6,sim,hidráulica,flex,8.4,10.5,11.9,15.2,2018
grande,toyota,corolla,1.8-16v,gli,m-6,sim,elétrica,flex,7.3,9.1,10.7,13.2,2018
grande,toyota,corolla,1.8-16v,gli,contínua,sim,elétrica,flex,7.8,9.2,11.4,13.2,2018
grande,toyota,corolla,2.0-16v,altis / xei / xrs,contínua,sim,elétrica,flex,7.2,8.8,10.6,12.6,2018
grande,honda,civic,2.0-16v,sport,m-6,sim,elétrica,flex,7.1,9.2,10.2,13.4,2018
grande,honda,civic,2.0-16v,ex / ex-l / sport,contínua,sim,elétrica,flex,7.2,8.9,10.5,13.0,2018
grande,honda,civic,1.5t-16v,touring,contínua,sim,elétrica,gasolina,0.0,0.0,11.8,14.4,2018
grande,honda,civic,1.5t-16v,coupe si,m-6,sim,elétrica,gasolina,0.0,0.0,11.2,13.7,2018
utilitárioesportivocompacto,nissan,kicks,1.6 - 16v,16 s,m-5,sim,elétrica,flex,7.8,9.0,11.1,13.0,2018
utilitárioesportivocompacto,nissan,kicks,1.6 - 16v,16 s / 16 sv / 16 sl,contínua,sim,elétrica,flex,7.7,9.4,11.4,13.7,2018
utilitárioesportivocompacto,renault,kwid,1.0-12v,intens / life / zen,m5,sim,m / e,flex,10.3,10.8,14.9,15.6,2018
sub compacto,kia,picanto,1.0 - 12v,ex5/ lx5 1.0 ff mt,m-5,sim,elétrica,flex,7.9,10.3,11.6,15.0,2019
sub compacto,kia,picanto,1.0 - 12v,ex5/ lx5 1.0 ff at,a-4,sim,elétrica,flex,8.1,9.9,11.4,14.7,2019
sub compacto,fiat,mobi,1.0-6v,drive,m-5,sim,elétrica,flex,9.6,11.3,13.7,16.1,2019
sub compacto,fiat,mobi,1.0-6v,drive gsr,mta-5,sim,elétrica,flex,9.8,11.1,14.0,15.9,2019
sub compacto,fiat,mobi,1.0-8v,easy,m-5,não,hidráulica,flex,9.2,10.2,13.5,15.2,2019
sub compacto,fiat,mobi,1.0-8v,like,m-5,sim,hidráulica,flex,8.8,9.9,12.7,14.3,2019
sub compacto,fiat,mobi,1.0-8v,way,m-5,sim,hidráulica,flex,8.7,9.7,12.6,14.2,2019
sub compacto,fiat,mobi,1.0-8v,easy,m-5,sim,hidráulica,flex,8.8,9.9,12.7,14.3,2019
compacto,citroën,c3,1.2 12v,origine / attraction / tendance,m-5,sim,elétrica,flex,9.3,10.1,13.2,14.8,2019
compacto,citroën,c3,1.6 16v,attraction a / exclusive a /urban trail a,a-6,sim,elétrica,flex,7.6,9.3,10.9,13.2,2019
compacto,peugeot,208,1.6 thp16v flex,gt,m-6,sim,elétrica,flex,8.2,9.5,12.0,13.8,2019
compacto,peugeot,208,1.2 12v,active mt / act pack mt / allure mt,m-5,sim,elétrica,flex,9.6,10.7,13.9,15.5,2019
compacto,peugeot,208,1.6 16v,griffe eat6 / active pk at,a-6,sim,elétrica,flex,7.7,9.3,11.0,13.2,2019
compacto,honda,fit,1.5-16v,dx / lx,m-5,sim,elétrica,flex,8.3,9.5,11.6,13.6,2019
compacto,honda,fit,1.5-16v,dx / lx / ex / exl / personal,contínua,sim,elétrica,flex,8.3,9.9,12.3,14.1,2019
compacto,volkswagen,gol,1.0-12v,(rodas aro 15),m-5,sim,hidráulica,flex,9.0,9.9,12.9,14.2,2019
compacto,volkswagen,gol,1.0-12v,(rodas aro 14),m-5,sim,hidráulica,flex,9.1,10.1,13.3,14.4,2019
compacto,hyundai,hb20,1.0-12v,unique / comfort plus / style,m-5,sim,hidráulica,flex,8.5,9.9,12.5,14.1,2019
compacto,hyundai,hb20,1.6-16v,comfort plus / style,m-6,sim,hidráulica,flex,8.1,9.9,11.6,13.8,2019
compacto,hyundai,hb20,1.6-16v,comfort plus / style / premium /rspec,a-6,sim,hidráulica,flex,7.1,9.4,9.9,12.5,2019
compacto,hyundai,hb20,1.0-12vturbo,comfort plus / style,m-6,sim,hidráulica,flex,8.2,10.1,11.6,14.3,2019
compacto,fiat,argo,1.0-6v,drive ( com stop & start),m-5,sim,elétrica,flex,9.9,10.7,14.2,15.1,2019
compacto,fiat,argo,1.3-8v,drive ( com stop & start),m-5,sim,elétrica,flex,9.2,10.2,12.9,14.3,2019
compacto,fiat,argo,1.3-8v,drive gsr,mta-5,sim,elétrica,flex,8.9,10.0,12.7,14.4,2019
