Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Compacto,Citroën,C3,A Exclusive / A Tendance / A Style,1.6 16v,A-4,S,E,F,"0,021","0,508","0,043",B,0,115,"7,9","8,8","11,0","12,6","1,84",D,C,-,3,2017
Compacto,Peugeot,208,Active MT / Act Pack MT / Allure MT,1.2,M-5,S,E,F,"0,018","0,465","0,037",B,0,82,"10,9","11,7","15,1","16,9","1,32",A,A,SIM,3,2017
Compacto,Peugeot,208,GT,"1.6 THP
16V Flex",M-6,S,E,F,"0,013","0,147","0,031",B,0,104,"8,2","9,5","12,0","13,8","1,70",C,B,-,3,2017
Compacto,Peugeot,208,Sport MT / Griffe MT,1.6 16v,M-5,S,E,F,"0,023","0,524","0,027",B,0,102,"8,5","10,0","12,3","14,0","1,65",B,B,-,3,2017
Compacto,Peugeot,208,Allure AT / Griffe AT,1.6 16v,A-4,S,E,F,"0,022","0,600","0,030",B,0,109,"8,1","9,1","11,7","13,0","1,76",C,B,-,3,2017
Compacto,Hyundai,HB20,Comfort / Plus / Style,1.0-12V,M-5,S,H,F,"0,014","0,309","0,011",A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,-,3,2017
Compacto,Hyundai,HB20,Plus / Style / Premium / R spec,1.6-16V,M-6,S,H,F,"0,017","0,500","0,019",B,0,107,"8,1","9,9","11,6","13,8","1,72",C,B,-,3,2017
Compacto,Hyundai,HB20,Plus / Style / Premium / R spec,1.6-16V,A-6,S,H,F,"0,020","0,286","0,020",B,0,121,"7,1","9,4","9,9","12,5","1,95",E,C,-,3,2017
Compacto,Hyundai,HB20,Plus / Style,"1.0-12V
Turbo",M-6,S,H,F,"0,010","0,311","0,016",A,0,105,"8,2","10,1","11,6","14,3","1,69",C,B,-,3,2017
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,M-6,S,E,F,"0,017","0,499","0,043",B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,-,3,2017
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,A-4,S,E,F,"0,019","0,409","0,004",B,0,107,"8,2","9,2","11,8","13,3","1,74",C,B,-,3,2017
Compacto,TOYOTA,"ETIOS
HATCHBACK",XS / XLS / PLATINUM / CROSS,1.5-16V,M-6,S,E,F,"0,020","0,527","0,018",B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,-,3,2017
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / PLATINUM / CROSS /
READY",1.5-16V,A-4,S,E,F,"0,023","0,406","0,009",B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,-,3,2017
Compacto,CHEVROLET,"Novo ONIX
(MY17)",1.0MT LS / 1.0MT LT,1.0L - 8V,M-6,S,E,F,"0,031","0,482","0,008",B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM,3,2017
Compacto,CHEVROLET,"ONIX JOY
(MY17)",10MT JOYE,1.0L - 8V,M-6,S,E,F,"0,031","0,467","0,010",B,0,95,"8,9","10,6","12,9","15,3","1,55",A,B,SIM,3,2017
Compacto,CHEVROLET,"Novo ONIX
(MY17)",1.4MT LT / 1.4MT LTZ / 1.4MT EFF,1.4L - 8V,M-6,S,E,F,"0,020","0,477","0,027",B,0,98,"8,6","10,2","12,5","14,9","1,60",B,B,-,3,2017
Compacto,CHEVROLET,"Novo ONIX
(MY17)",1.4AT LT / 1.4AT LTZ,1.4L - 8V,A-6,S,E,F,"0,021","0,425","0,018",B,0,105,"7,9","9,6","11,7","13,9","1,73",C,B,-,3,2017
Compacto,CHEVROLET,"Novo ONIX
(MY17)",1.4MT ACT,1.4L - 8V,M-6,S,E,F,"0,029","0,549","0,013",B,0,102,"8,3","9,4","12,4","13,8","1,68",C,B,-,3,2017
Compacto,CHEVROLET,"Novo ONIX
(MY17)",1.4AT ACT,1.4L - 8V,A-6,S,E,F,"0,021","0,420","0,019",B,0,114,"7,7","8,6","11,2","12,6","1,85",D,C,-,3,2017
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,4,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,4,2017
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,4,2017
Compacto,VW,Gol,"City /
Trendline",1.0-12V,M-5,S,H,F,"0,022","0,289","0,026",B,0,95,"8,9","10,4","13,1","14,9","1,56",A,B,SIM,4,2017
Compacto,VW,Gol,Comfortline / Track,1.0-12V,M-5,S,H,F,"0,024","0,357","0,021",B,0,99,"8,6","10,0","12,7","14,3","1,61",B,B,-,4,2017
Compacto,VW,Gol,"Trendline
(Rodas aro 14"")",1.6-8V,M-5,S,H,F,"0,019","0,462","0,023",B,0,106,"7,9","9,7","11,5","14,0","1,73",C,B,-,4,2017
Compacto,VW,Gol,"Comfortline (Rodas aro 15"")
/ Highline
(Rodas aro 15"")",1.6-8V,M-5,S,H,F,"0,015","0,519","0,020",B,0,110,"7,8","9,5","11,1","13,6","1,78",D,B,-,4,2017
Compacto,VW,Gol,"Comfortline (Rodas aro 16"")
/ Highline (Rodas aro 16"")",1.6-8V,M-5,S,H,F,"0,027","0,778","0,018",B,0,118,"7,4","8,7","10,7","12,3","1,91",E,C,-,4,2017
Compacto,VW,Gol,"Comfortline (Rodas aro 15"") (I-Motion)
/ Highline (Rodas aro 15"") (I-Motion)",1.6-8V,MTA-5,S,H,F,"0,022","0,244","0,019",B,0,112,"7,7","9,2","11,1","13,1","1,81",D,B,-,4,2017
Compacto,VW,Gol,"Comfortline (Rodas aro 16"") (I-Motion)
/ Highline (Rodas aro 16"") (I-Motion)",1.6-8V,MTA-5,S,H,F,"0,024","0,421","0,030",B,0,120,"7,4","8,4","10,6","11,9","1,95",E,C,-,4,2017
Compacto,VW,Fox,Trendline / Comfortline / Track,1.0-12V,M-5,S,E,F,"0,029","0,327","0,039",B,0,98,"8,8","10,1","12,9","14,2","1,59",B,B,-,4,2017
Compacto,VW,Fox,"Trendline (Rodas aro 15"") /
Comfortline (Rodas aro 15"") /
Run (Rodas aro 15"")",1.6-8V,M-5,S,E,F,"0,019","0,478","0,030",B,0,106,"7,8","9,7","11,6","13,9","1,74",C,B,-,4,2017
Compacto,VW,Fox,Comfortline (I-Motion),1.6-8V,MTA-5,S,E,F,"0,021","0,489","0,021",B,0,113,"7,8","9,0","11,2","12,7","1,83",D,C,-,4,2017
Compacto,VW,Fox,"Highline (Rodas aro 15"")
/ Pepper (Rodas aro 15"")",1.6-16V,M-6,S,E,F,"0,024","0,323","0,015",B,0,109,"8,2","10,0","11,3","13,5","1,73",C,B,-,4,2017
