categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
MÉDIO,HYUNDAI,HB20S,1.0­12V Turbo ISG,Diamond FE,A­6,S,E,F,"8,8","11,0","12,7","15,7",2020
MÉDIO,HYUNDAI,HB20S,1.6­16V,Vision,M­6,S,E,F,"8,5","10,5","12,6","15,1",2020
MÉDIO,HYUNDAI,HB20S,1.6­16V,Vision,A­6,S,E,F,"8,1","10,4","11,5","14,9",2020
MÉDIO,HYUNDAI,HB20S,1.0­12V,Vision,M­5,S,E,F,"9,5","10,6","12,8","14,7",2020
MÉDIO,HYUNDAI,HB20S,1.0­12V,Evolution,M­5,S,E,F,"9,5","10,6","12,8","14,7",2020
MÉDIO,KIA,Rio,1.6­16V,EX,A­6,S,E,F,"7,2","9,3","10,5","13,4",2020
MÉDIO,KIA,Rio,1.6­16V,LX,A­6,S,E,F,"7,2","9,3","10,5","13,4",2020
MÉDIO,AUDI,A3 Sportback,1.4­16V,Prestige Plus,DCT­7,S,E,G,\,\,"11,6","14,4",2020
MÉDIO,HONDA,City,1.5­16V,DX,M­5,S,E,F,"8,6","10,3","12,4","14,6",2020
MÉDIO,HONDA,City,1.5­16V,DX,CVT,S,E,F,"8,5","10,3","12,3","14,5",2020
MÉDIO,HONDA,City,1.5­16V,LX,CVT,S,E,F,"8,5","10,3","12,3","14,5",2020
MÉDIO,HONDA,City,1.5­16V,EX,CVT,S,E,F,"8,5","10,3","12,3","14,5",2020
MÉDIO,HONDA,City,1.5­16V,EXL,CVT,S,E,F,"8,5","10,3","12,3","14,5",2020
MÉDIO,HONDA,City,1.5­16V,Personal,CVT,S,E,F,"8,5","10,3","12,3","14,5",2020
MÉDIO,HONDA,HR­V,1.5­16V Turbo,Touring,CVT,S,E,G,\,\,"11,4","12,6",2020
MÉDIO,TOYOTA,Etios Sedã,1.5­16V,X STD,M­6,S,E,F,"8,5","10,3","12,5","15,0",2020
MÉDIO,TOYOTA,Etios Sedã,1.5­16V,X VSC,M­6,S,E,F,"8,5","10,3","12,5","15,0",2020
MÉDIO,TOYOTA,Etios Sedã,1.5­16V,Xplus,M­6,S,E,F,"8,5","10,3","12,5","15,0",2020
MÉDIO,TOYOTA,Etios Sedã,1.5­16V,X VSC,A­4,S,E,F,"8,4","10,4","12,2","14,9",2020
MÉDIO,TOYOTA,Etios Sedã,1.5­16V,Xplus,A­4,S,E,F,"8,4","10,4","12,2","14,9",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.3­16V,XL Llive,M­6,S,E,F,"8,4","10,0","12,1","14,2",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.3­16V,XL Llive,CVT,S,E,F,"9,0","9,9","13,1","14,2",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.5­16V,XS,CVT,S,E,F,"8,8","10,0","12,6","13,8",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.5­16V,PLUS,CVT,S,E,F,"8,8","10,0","12,6","13,8",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.5­16V,XLS,CVT,S,E,F,"8,8","10,0","12,6","13,8",2020
MÉDIO,TOYOTA,Yaris Hatchback,1.5­16V,X WAY,CVT,S,E,F,"8,8","10,0","12,6","13,8",2020
MÉDIO,TOYOTA,Yaris Sedã,1.5­16V,XL Llive,M­6,S,E,F,"8,3","10,1","12,0","14,6",2020
MÉDIO,TOYOTA,Yaris Sedã,1.5­16V,XL Live,CVT,S,E,F,"9,0","10,6","13,0","14,5",2020
MÉDIO,TOYOTA,Yaris Sedã,1.5­16V,XS,CVT,S,E,F,"9,0","10,6","13,0","14,5",2020
MÉDIO,TOYOTA,Yaris Sedã,1.5­16V,Plus,CVT,S,E,F,"9,0","10,6","13,0","14,5",2020
MÉDIO,TOYOTA,Yaris Sedã,1.5­16V,XLS,CVT,S,E,F,"9,0","10,6","13,0","14,5",2020
MÉDIO,TOYOTA,Prius,1.8­16V,NGA,CVT,S,E,G,\,\,"18,9","17,0",2020
MÉDIO,TOYOTA,Prius,1.8­16V,NGA Top,CVT,S,E,G,\,\,"18,9","17,0",2020
MÉDIO,LEXUS,CT200H,1.8­16V,CT200H,CVT,S,E,G,\,\,"15,7","14,2",2020
MÉDIO,LEXUS,CT200H,1.8­16V,F SPORT,CVT,S,E,G,\,\,"15,7","14,2",2020
MÉDIO,FIAT,Cronos,1.3­8V,Drive,M­5,S,E,F,"8,9","10,4","12,5","14,7",2020
MÉDIO,FIAT,Cronos,1.3­8V,"Drive (Stop &
Start)",M­5,S,E,F,"9,2","10,7","13,2","15,0",2020
MÉDIO,FIAT,Cronos,1.8­16V,Drive,M­5,S,E,F,"7,4","9,3","11,0","13,5",2020
MÉDIO,FIAT,Cronos,1.8­16V,"Drive (Stop &
Start)",M­5,S,E,F,"8,0","9,6","11,6","13,8",2020
MÉDIO,FIAT,Cronos,1.3­8V,Drive,MTA­5,S,E,F,"8,6","10,3","12,4","14,4",2020
