"Ano:2016 Modelo: Todos Data: 06/12/2016
Categoria: Todas Motor: Todos Última Atualização: 06/12/2016
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano2016
35Marcas
Valor de CO2 da
1102 Modelos/Versões emissão no
escapamento referente Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
349Modelo(s) com Selo CONPET ao combustível de simular condições mais comuns de utilização. O consumo percebido pelo motorista poderá
origem fóssil não variar para mais ou para menos, dependendo das condições de uso. Para saber por que,
renovável consulte: www.inmetro.gov.br e www.conpet.gov.br",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
,FIAT,Mobi (2017),1.0­8V,Way,M­5,S,H,F,"0,025","0,442","0,030",A,0,100,"8,9","9,7","12,6","14,2","1,62",A,A,SIM,2,2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Way On,M­5,S,H,F,"0,025","0,442","0,030",A,0,100,"8,9","9,7","12,6","14,2","1,62",A,A,SIM,2,2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,A­4,S,E,F,"0,025","0,376","0,006",A,0,119,"8,0","8,9","10,6","12,1","1,87",C,B,­,2,2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,LX4,A­4,S,E,F,"0,025","0,376","0,006",A,0,119,"8,0","8,9","10,6","12,1","1,87",C,B,­,2,2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,M­5,S,E,F,"0,044","0,138","0,005",C,0,104,"8,2","10,0","11,7","14,3","1,69",A,B,SIM,2,2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,LX4,M­5,S,E,F,"0,044","0,138","0,005",C,0,104,"8,2","10,0","11,7","14,3","1,69",A,B,SIM,2,2016,"MICRO
COMPACTO"
,SMART,Fortwo,1.0­12V,"71cv MHD
Coupé",MTA­5,S,E,G,"0,020","0,174","0,024",A,\,96,\,\,"13,2","14,4","1,56",A,A,SIM,2,2016,"MICRO
COMPACTO"
,SMART,Fortwo,1.0­12V,"84cv Turbo
Cabrio",MTA­5,S,E,G,"0,024","0,206","0,015",A,\,97,\,\,"13,2","14,2","1,57",A,A,SIM,2,2016,"MICRO
COMPACTO"
,,,,,,,,,,,,,,,,,,,,,,,2,2016,
,,,,,,,,,,,,,,,,,,,,,,,2,2016,
,,,,,,,,,,,,,,,,,,,,,,,2,2016,Página 2 / 44
,,,,,,,,,,,,,,,,,,,,,,,2,2016,
,,,,,,,,,,,,,,,,,,,,,,,3,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",3,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,3,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,3,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,3,2016,
,SMART,Fortwo,1.0­12V,"84cv Turbo
Coupé",MTA­5,S,E,G,"0,024","0,206","0,015",A,\,97,\,\,"13,2","14,2","1,57",A,A,SIM,3,2016,"MICRO
COMPACTO"
,FIAT,Novo Uno,1.0­8V,Attractive,M­5,S,H,F,"0,009","0,217","0,008",A,0,108,"8,0","9,4","11,6","13,4","1,75",C,B,­,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,Evolution,M­5,S,H,F,"0,015","0,534","0,009",A,0,98,"8,8","10,1","12,6","14,8","1,59",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,Sporting,M­5,S,H,F,"0,022","0,394","0,034",A,0,114,"7,8","8,8","11,2","12,5","1,84",D,B,­,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.4­8V,"Sporting
Dualogic",MTA­5,S,H,F,"0,011","0,236","0,031",A,0,117,"7,7","8,3","11,1","11,8","1,90",D,B,­,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno,1.0­8V,Way,M­5,S,H,F,"0,024","0,625","0,020",A,0,110,"8,0","9,1","11,5","13,0","1,78",C,B,­,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.0­6V,Attractive,M­5,S,H,F,"0,022","0,367","0,023",A,0,94,"9,2","10,4","13,1","15,1","1,53",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.3­8V,"Sporting
Dualogic",MTA­5,S,H,F,"0,019","0,508","0,032",A,0,98,"9,3","10,1","13,2","13,7","1,57",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.3­8V,Sporting,M­5,S,H,F,"0,022","0,319","0,031",A,0,99,"9,2","10,1","12,9","14,0","1,58",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Novo Uno (2017),1.0­6V,Way,M­5,S,H,F,"0,022","0,367","0,023",A,0,94,"9,2","10,4","13,1","15,1","1,53",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Palio,1.0­8V,Fire Evo,M­5,N,M,F,"0,020","0,388","0,019",A,0,99,"8,7","10,4","12,2","15,3","1,60",A,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Palio,1.0­8V,Fire Way,M­5,N,M,F,"0,020","0,388","0,019",A,0,103,"8,3","9,8","12,0","14,2","1,67",B,A,SIM,3,2016,"SUB
COMPACTO"
,FIAT,Uno,1.0­8V,Vivace,M­5,N,M,F,"0,015","0,462","0,019",A,0,102,"8,2","10,4","11,8","15,0","1,66",B,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Cross,M­5,S,E,F,"0,028","0,256","0,034",A,0,95,"9,2","10,4","13,3","14,6","1,54",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Cross (I­
Motion)",MTA­5,S,E,F,"0,040","0,671","0,024",B,0,96,"8,9","9,9","13,2","14,4","1,58",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Move (I­
Motion)",MTA­5,S,E,F,"0,037","0,599","0,018",B,0,89,"9,4","10,6","14,0","15,8","1,47",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"High (I­
Motion)",MTA­5,S,E,F,"0,037","0,599","0,018",B,0,89,"9,4","10,6","14,0","15,8","1,47",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,"Run (I­
Motion)",MTA­5,S,E,F,"0,037","0,599","0,018",B,0,89,"9,4","10,6","14,0","15,8","1,47",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Take,M­5,S,E,F,"0,023","0,218","0,032",A,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Move,M­5,S,E,F,"0,023","0,218","0,032",A,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,High,M­5,S,E,F,"0,023","0,218","0,032",A,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM,3,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Run,M­5,S,E,F,"0,023","0,218","0,032",A,0,89,"9,6","10,6","14,2","15,3","1,46",A,A,SIM,3,2016,"SUB
COMPACTO"
,,,,,,,,,,,,,,,,,,,,,,,3,2016,
,,,,,,,,,,,,,,,,,,,,,,,3,2016,
,,,,,,,,,,,,,,,,,,,,,,,3,2016,Página 3 / 44
,,,,,,,,,,,,,,,,,,,,,,,3,2016,
,,,,,,,,,,,,,,,,,,,,,,,4,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",4,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,4,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,4,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,4,2016,
,VOLKSWAGEN,Up!,1.0­12V,Track,M­5,S,E,F,"0,030","0,223","0,026",A,0,93,"9,5","10,3","13,7","14,8","1,50",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! (2017),1.0­12V,"Cross (I­
Motion)",MTA­5,S,E,F,"0,034","0,404","0,016",B,0,96,"9,2","9,9","13,3","14,1","1,56",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Cross,M­5,S,E,F,"0,022","0,189","0,032",A,0,93,"9,5","10,4","13,7","14,7","1,50",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Move,M­5,S,E,F,"0,030","0,380","0,035",A,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,High,M­5,S,E,F,"0,030","0,380","0,035",A,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,BWR,M­5,S,E,F,"0,030","0,380","0,035",A,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,4,2016,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Speed,M­5,S,E,F,"0,030","0,380","0,035",A,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,4,2016,"SUB
COMPACTO"
,CHEVROLET,Classic,1.0­8V,LS,M­5,S,H,F,"0,024","0,352","0,014",A,0,117,"7,3","8,6","10,8","12,5","1,91",C,B,­,4,2016,COMPACTO
,CHEVROLET,Onix,1.0­8V,LS,M­5,S,H,F,"0,031","0,339","0,011",B,0,109,"7,8","9,2","11,5","13,5","1,77",B,B,­,4,2016,COMPACTO
,CHEVROLET,Onix,1.0­8V,LT,M­5,S,H,F,"0,031","0,339","0,011",B,0,109,"7,8","9,2","11,5","13,5","1,77",B,B,­,4,2016,COMPACTO
,CHEVROLET,Onix Joy (2017),1.0­8V,Joy,M­6,S,E,F,"0,031","0,467","0,010",B,0,95,"8,9","10,6","12,9","15,3","1,55",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LT,A­6,S,H,F,"0,024","0,544","0,006",A,0,125,"6,9","8,5","9,9","12,2","2,02",D,C,­,4,2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LTZ,A­6,S,H,F,"0,024","0,544","0,006",A,0,125,"6,9","8,5","9,9","12,2","2,02",D,C,­,4,2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LT,M­5,S,H,F,"0,016","0,420","0,015",A,0,108,"7,9","9,6","11,5","13,6","1,75",A,B,SIM,4,2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,LTZ,M­5,S,H,F,"0,016","0,420","0,015",A,0,108,"7,9","9,6","11,5","13,6","1,75",A,B,SIM,4,2016,COMPACTO
,CHEVROLET,Onix,1.4­8V,EFF,M­5,S,H,F,"0,016","0,420","0,015",A,0,108,"7,9","9,6","11,5","13,6","1,75",A,B,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.0­8V,LS,M­6,S,E,F,"0,031","0,482","0,008",B,0,95,"8,8","10,5","12,9","15,3","1,56",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.0­8V,LT,M­6,S,E,F,"0,031","0,482","0,008",B,0,95,"8,8","10,5","12,9","15,3","1,56",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,ACT,M­6,S,E,F,"0,029","0,549","0,013",A,0,102,"8,3","9,4","12,4","13,8","1,68",A,B,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,ACT,A­6,S,E,F,"0,021","0,420","0,019",A,0,114,"7,7","8,6","11,2","12,6","1,85",C,B,­,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LT,M­6,S,E,F,"0,020","0,477","0,027",A,0,98,"8,6","10,2","12,5","14,9","1,60",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LTZ,M­6,S,E,F,"0,020","0,477","0,027",A,0,98,"8,6","10,2","12,5","14,9","1,60",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,EFF,M­6,S,E,F,"0,020","0,477","0,027",A,0,98,"8,6","10,2","12,5","14,9","1,60",A,A,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LT,A­6,S,E,F,"0,021","0,425","0,018",A,0,105,"7,9","9,6","11,7","13,9","1,73",A,B,SIM,4,2016,COMPACTO
,CHEVROLET,Novo Onix (2017),1.4­8V,LTZ,A­6,S,E,F,"0,021","0,425","0,018",A,0,105,"7,9","9,6","11,7","13,9","1,73",A,B,SIM,4,2016,COMPACTO
,CITROEN,C3,1.2­12V,Origine,M­5,S,E,F,"0,014","0,470","0,023",A,0,84,"10,6","11,3","14,8","16,6","1,35",A,A,SIM,4,2016,COMPACTO
,CITROEN,C3,1.2­12V,Attraction,M­5,S,E,F,"0,014","0,470","0,023",A,0,84,"10,6","11,3","14,8","16,6","1,35",A,A,SIM,4,2016,COMPACTO
,CITROEN,C3,1.2­12V,Tendance,M­5,S,E,F,"0,014","0,470","0,023",A,0,84,"10,6","11,3","14,8","16,6","1,35",A,A,SIM,4,2016,COMPACTO
,CITROEN,C3,1.2­12V,Style,M­5,S,E,F,"0,014","0,470","0,023",A,0,84,"10,6","11,3","14,8","16,6","1,35",A,A,SIM,4,2016,COMPACTO
,CITROEN,C3,1.5­8V,Origine,M­5,S,E,F,"0,021","0,447","0,009",A,0,103,"8,0","10,0","11,8","14,6","1,68",A,B,SIM,4,2016,COMPACTO
,CITROEN,C3,1.5­8V,Attraction,M­5,S,E,F,"0,021","0,447","0,009",A,0,103,"8,0","10,0","11,8","14,6","1,68",A,B,SIM,4,2016,COMPACTO
