Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Compacto,VW,Fox,Connect (I-Motion),1.6-8V,MTA-5,S,E,F,"0,021","0,489","0,021",B,0,113,"7,8","9,0","11,2","12,7","1,83",D,C,-,3,2019
Compacto,VW,Gol,(Rodas aro 15),1.0-12V,M-5,S,H,F,"0,033","0,309","0,023",B,0,98,"9,0","9,9","12,9","14,2","1,59",B,B,-,3,2019
Compacto,VW,Gol,,1.6-8V,M-5,S,H,F,"0,015","0,519","0,020",B,0,110,"7,8","9,5","11,1","13,6","1,78",D,B,-,3,2019
Compacto,VW,Gol,,1.6-16V,A-6,S,H,F,"0,035","0,277","0,018",B,0,110,"7,7","9,6","11,1","13,6","1,79",D,B,-,3,2019
Compacto,VW,Gol,(Rodas aro 14),1.0-12V,M-5,S,H,F,"0,028","0,260","0,020",B,0,96,"9,1","10,1","13,3","14,4","1,56",A,B,SIM,3,2019
Compacto,Hyundai,HB20,Unique / Comfort Plus / Style,1.0-12V,M-5,S,H,F,"0,014","0,309","0,011",A,0,101,"8,5","9,9","12,5","14,1","1,64",B,B,-,3,2019
Compacto,Hyundai,HB20,Comfort Plus / Style,1.6-16V,M-6,S,H,F,"0,017","0,500","0,019",B,0,107,"8,1","9,9","11,6","13,8","1,72",C,B,-,3,2019
Compacto,Hyundai,HB20,"Comfort Plus / Style / Premium /
Rspec",1.6-16V,A-6,S,H,F,"0,020","0,286","0,020",B,0,121,"7,1","9,4","9,9","12,5","1,95",E,C,-,3,2019
Compacto,Hyundai,HB20,Comfort Plus / Style,"1.0-12V
Turbo",M-6,S,H,F,"0,010","0,311","0,016",A,0,105,"8,2","10,1","11,6","14,3","1,69",C,B,-,3,2019
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,4,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,4,2019
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,4,2019
Compacto,FIAT,ARGO,DRIVE ( com Stop & Start),1.0-6V,M-5,S,E,F,"0,011","0,504","0,016",B,0,90,"9,9","10,7","14,2","15,1","1,45",A,A,SIM,4,2019
Compacto,FIAT,ARGO,DRIVE ( com Stop & Start),1.3-8V,M-5,S,E,F,"0,010","0,414","0,012",B,0,98,"9,2","10,2","12,9","14,3","1,57",A,B,SIM,4,2019
Compacto,FIAT,ARGO,DRIVE GSR,1.3-8V,MTA-5,S,E,F,"0,010","0,482","0,017",B,0,98,"8,9","10,0","12,7","14,4","1,60",B,B,-,4,2019
Compacto,FIAT,ARGO,HGT,1.8-16V,A-6,S,E,F,"0,007","0,509","0,015",B,0,121,"6,9","9,1","10,0","12,8","1,96",E,C,-,4,2019
Compacto,FIAT,ARGO,HGT,1.8-16V,M-5,S,E,F,"0,008","0,504","0,023",B,0,110,"7,8","9,2","11,4","13,3","1,79",D,B,-,4,2019
Compacto,FIAT,ARGO,PRECISION,1.8-16V,A-6,S,E,F,"0,009","0,423","0,025",B,0,119,"7,1","9,5","10,1","13,2","1,91",E,C,-,4,2019
Compacto,FIAT,ARGO,PRECISION,1.8-16V,M-5,S,E,F,"0,009","0,480","0,023",B,0,107,"8,0","9,6","11,5","13,8","1,74",C,B,-,4,2019
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"0,015","0,465","0,025",B,0,96,"9,1","10,4","13,0","14,7","1,55",A,B,SIM,4,2019
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,F,"0,015","0,465","0,025",B,0,96,"9,1","10,4","13,0","14,7","1,55",A,B,SIM,4,2019
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,F,"0,008","0,349","0,019",B,0,98,"8,7","10,0","12,6","14,7","1,60",B,B,-,4,2019
Compacto,Renault,Sandero,Authentique / Expression,1.0-12V,M5,S,E-H,F,"0,021","0,163","0,045",B,0,93,"9,5","9,6","14,2","14,1","1,52",A,B,SIM,4,2019
Compacto,Renault,Sandero,Dynamique / Expression,1.6-16V,M5,S,E-H,F,"0,024","0,483","0,033",B,0,102,"8,6","9,2","12,8","13,4","1,66",B,B,-,4,2019
Compacto,Renault,Sandero,Expression / Dynamique,1.6-16V,MTA-5,S,E-H,F,"0,021","0,461","0,032",B,0,108,"8,1","8,8","11,8","12,8","1,77",D,B,-,4,2019
Compacto,Renault,Sandero,GT Line,1.6-16V,M5,S,E-H,F,"0,027","0,440","0,025",B,0,104,"8,4","8,9","12,5","13,0","1,71",C,B,-,4,2019
Compacto,Renault,Sandero RS,2.0 RS,2.0-16V,M6,S,E-H,F,"0,031","0,381","0,047",C,0,129,"6,9","7,7","9,9","11,1","2,10",E,C,-,4,2019
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,5,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,5,2019
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,5,2019
Médio,NISSAN,NEW VERSA,10 Conforto / 10 S,1.0 - 12V,M-5,S,E,F,"0,012","0,488","0,004",A,0,95,"8,8","10,5","12,9","15,3","1,55",B,B,-,5,2019
Médio,NISSAN,NEW VERSA,16 S / 16 SV / 16 SL,1.6 - 16V,M-5,S,E,F,"0,021","0,551","0,013",B,0,99,"8,4","10,0","12,6","14,4","1,63",B,B,-,5,2019
Médio,NISSAN,NEW VERSA,16 SV / 16 SL / 16 UNIQUE,1.6 - 16V,CVT,S,E,F,"0,022","0,367","0,025",B,0,106,"7,8","10,0","11,6","14,1","1,72",C,B,-,5,2019
Médio,AUDI,A1 Sportback,Attraction,1.4-16V,DCT-7,S,E,G,"0,013","0,102","0,020",A,\,97,\,\,"12,6","15,2","1,58",B,B,-,5,2019
Médio,AUDI,A1 Sportback,Ambition,1.8-16V,DCT-7,S,E,G,"0,024","0,292","0,023",B,\,115,\,\,"10,7","13,1","1,87",D,C,-,5,2019
Médio,AUDI,A3 Sportback,Attraction / Ambiente,1.4-16V,DCT-7,S,E,G,"0,009","0,072","0,045",B,\,105,\,\,"11,6","14,4","1,70",C,B,-,5,2019
Médio,AUDI,RS3 Sportback,-,2.5-20V,DCT-7,S,E,G,"0,006","0,322","0,034",A,\,161,\,\,"7,6","9,9","2,61",E,D,-,5,2019
Médio,TOYOTA,ETIOS SEDÃ,X / XS / XLS / X PLUS / PLATINUM,1.5-16V,M-6,S,E,F,"0,026","0,671","0,017",B,0,98,"8,5","10,3","12,5","15,0","1,60",B,B,-,5,2019
Médio,TOYOTA,ETIOS SEDÃ,X / XS / XLS / X PLUS / PLATINUM,1.5-16V,A-4,S,E,F,"0,026","0,504","0,018",B,0,100,"8,4","10,4","12,2","14,9","1,63",B,B,-,5,2019
Médio,TOYOTA,PRIUS,NGA / NGA Top,1.8-16V,CVT,S,E,G,"0,006","0,038","0,006",A,\,71,\,\,"18,9","17,0","1,15",A,A,SIM,5,2019
Médio,TOYOTA,"YARIS
HATCHBACK",XL,1.3 - 16V,M-6,S,E,F,"0,022","0,487","0,027",B,0,102,"8,4","10,0","12,1","14,2","1,66",B,B,-,5,2019
Médio,TOYOTA,"YARIS
HATCHBACK",XL / XL PLUS TECH,1.3 - 16V,CVT,S,E,F,"0,014","0,235","0,013",A,0,97,"9,0","9,9","13,1","14,2","1,58",B,B,-,5,2019
Médio,TOYOTA,"YARIS
HATCHBACK",XS / X-WAY / XLS,1.5 - 16V,CVT,S,E,F,"0,015","0,301","0,009",A,0,101,"8,8","10,0","12,6","13,8","1,62",B,B,-,5,2019
Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,M-6,S,E,F,"0,018","0,468","0,015",B,0,102,"8,3","10,1","12,0","14,6","1,65",B,B,-,5,2019
Médio,TOYOTA,YARIS SEDÃ,XL / XL PLUS TECH / XS / XLS,1.5 - 16V,CVT,S,E,F,"0,016","0,273","0,014",A,0,97,"9,0","10,6","13,0","14,5","1,56",B,B,-,5,2019
Médio,LEXUS,CT200H,CT200H / F SPORT,1.8-16V,CVT,S,E,G,"0,016","0,158","0,003",A,\,87,\,\,"15,7","14,2","1,41",A,A,SIM,5,2019
Médio,KIA,RIO,EX / LX 1.6 FF MT HB,1.6 - 16V,M-6,S,E,F,"0,017","0,249","0,004",A,0,115,"7,0","9,4","10,2","13,8","1,91",D,C,-,5,2019
Médio,KIA,RIO,EX / LX 1.6 FF AT HB,1.6 - 16V,A-6,S,E,F,"0,021","0,528","0,023",B,0,115,"7,2","9,3","10,5","13,4","1,88",D,C,-,5,2019
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,6,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,6,2019
