"Ano:2015 Modelo: Todos Data: 24/11/2015
Categoria: Todas Motor: Todos Última Atualização: 24/11/2015
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,Gasolina,,,,,,3,2015,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,Gasolina,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,3,2015,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)",,,,,,,,,3,2015,
,SMART,Fortwo,1.0­12V,"84cv turbo
coupé",MTA­5,S,E,G,"0,024","0,206","0,015",***,\,97,\,\,"13,2","14,2","1,57",A,A,SIM,3,2015,"SUB
COMPACTO"
,SMART,Fortwo,1.0­12V,"84cv turbo
cabrio",MTA­5,S,E,G,"0,024","0,206","0,015",***,\,97,\,\,"13,2","14,2","1,57",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Take,M­5,S,E,F,"0,017","0,197","0,068",*,0,93,"9,2","10,2","13,5","14,6","1,54",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Move,M­5,S,E,F,"0,017","0,197","0,068",*,0,93,"9,2","10,2","13,5","14,6","1,54",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,High,M­5,S,E,F,"0,017","0,197","0,068",*,0,93,"9,2","10,2","13,5","14,6","1,54",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,BWR,M­5,S,E,F,"0,017","0,197","0,068",*,0,93,"9,2","10,2","13,5","14,6","1,54",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Move I­Motion,MTA­5,S,E,F,"0,040","0,670","0,024",**,0,94,"9,2","10,2","13,2","14,8","1,55",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,High I­Motion,MTA­5,S,E,F,"0,040","0,670","0,024",**,0,94,"9,2","10,2","13,2","14,8","1,55",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,BWR I­Motion,MTA­5,S,E,F,"0,040","0,670","0,024",**,0,94,"9,2","10,2","13,2","14,8","1,55",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Cross,M­5,S,E,F,"0,017","0,197","0,068",*,0,95,"9,1","10,0","13,4","14,3","1,56",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up!,1.0­12V,Cross I­Motion,MTA­5,S,E,F,"0,040","0,670","0,024",**,0,96,"9,1","10,0","13,1","14,4","1,57",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Cross,M­5,S,E,F,"0,022","0,189","0,032",***,0,93,"9,5","10,4","13,7","14,7","1,50",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,Move,M­5,S,E,F,"0,030","0,380","0,035",***,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,3,2015,"SUB
COMPACTO"
,VOLKSWAGEN,Up! TSI,1.0­12V,High,M­5,S,E,F,"0,030","0,380","0,035",***,0,89,"9,6","11,1","13,8","16,1","1,44",A,A,SIM,3,2015,"SUB
COMPACTO"
