Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa
na Categoria","Comparação
Absoluta
Geral",,2,2025,,,
Médio,CHEVROLET,SPIN,LS E,1.8L-8V,Combustão,,S,E,F,44,656,4,C,0,115,\,7.7,8.6,11.0,12.5,\,\,1.87,\,D,C,-,2,2025,M-6,,
Médio,CHEVROLET,SPIN,LS2,1.8L-8V,Combustão,,S,E,F,44,656,4,C,0,115,\,7.7,8.6,11.0,12.5,\,\,1.87,\,D,C,-,2,2025,M-6,,
Médio,CHEVROLET,SPIN,LT,1.8L-8V,Combustão,,S,E,F,44,656,4,C,0,115,\,7.7,8.6,11.0,12.5,\,\,1.87,\,D,C,-,2,2025,M-6,,
Médio,CHEVROLET,SPIN,LT,1.8L-8V,Combustão,,S,E,F,46,643,5,C,0,115,\,7.4,9.3,10.5,13.4,\,\,1.87,\,D,C,-,2,2025,A-6,,
Médio,CHEVROLET,SPIN,AT,1.8L-8V,Combustão,,S,E,F,46,643,5,C,0,115,\,7.4,9.3,10.5,13.4,\,\,1.87,\,D,C,-,2,2025,A-6,,
Médio,CHEVROLET,SPIN,LTZ5,1.8L-8V,Combustão,,S,E,F,46,643,5,C,0,115,\,7.4,9.3,10.5,13.4,\,\,1.87,\,D,C,-,2,2025,A-6,,
Médio,FIAT,CRONOS,1.0,1.0-6V,Combustão,,S,E,F,36,445,3,B,0,92,\,9.7,11.2,13.4,15.9,\,\,1.46,\,B,B,-,2,2025,M-5,,
Médio,FIAT,CRONOS,DRIVE 1.0,1.0-6V,Combustão,,S,E,F,36,445,3,B,0,92,\,9.7,11.2,13.4,15.9,\,\,1.46,\,B,B,-,2,2025,M-5,,
Médio,FIAT,CRONOS,DRIVE1.3AT,1.3-8V,Combustão,,S,E,F,42,216,4,B,0,99,\,8.9,10.7,12.6,14.6,\,\,1.57,\,B,C,-,2,2025,CVT-7,,
Médio,FIAT,CRONOS,PREC 1.3AT,1.3-8V,Combustão,,S,E,F,42,216,4,B,0,99,\,8.9,10.7,12.6,14.6,\,\,1.57,\,B,C,-,2,2025,CVT-7,,
Médio,GWM,ORA 03,GT BEV63,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,42.4,36.5,0.51,319,A,A,-,2,2025,A-1,,
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,41.7,35.7,0.52,232,A,A,-,2,2025,A-1,,
Médio,GWM,ORA 03,SKIN BEV48,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,41.7,35.7,0.52,232,A,A,-,2,2025,A-1,,
Médio,GWM,ORA 03,GT BEV63,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,41.1,33.7,0.54,295,A,A,-,2,2025,A-1,,
Médio,HONDA,CITY,LX,1.5-16V,Combustão,,S,E,F,20,202,1,A,0,95,\,9.3,10.4,12.8,15.5,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY,EX,1.5-16V,Combustão,,S,E,F,20,202,1,A,0,95,\,9.3,10.4,12.8,15.5,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,,S,E,F,20,202,1,A,0,95,\,9.3,10.4,12.8,15.5,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,,S,E,F,20,202,1,A,0,95,\,9.3,10.4,12.8,15.5,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY HATCH,LX,1.5-16V,Combustão,,S,E,F,23,150,2,A,0,95,\,9.2,10.5,13.2,15.0,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY HATCH,EX,1.5-16V,Combustão,,S,E,F,23,150,2,A,0,95,\,9.2,10.5,13.2,15.0,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,,S,E,F,23,150,2,A,0,95,\,9.2,10.5,13.2,15.0,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,,S,E,F,23,150,2,A,0,95,\,9.2,10.5,13.2,15.0,\,\,1.53,\,B,C,-,2,2025,CVT,,
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,,S,E,F,21,183,1,A,0,101,\,8.8,9.9,12.5,13.9,\,\,1.63,\,C,C,-,2,2025,CVT,,
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,,S,E,F,21,183,1,A,0,101,\,8.8,9.9,12.5,13.9,\,\,1.63,\,C,C,-,2,2025,CVT,,
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,,S,E,F,31,177,4,A,0,111,\,8.0,9.2,11.3,13.0,\,\,1.78,\,D,C,-,2,2025,CVT,,
Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,,S,E,F,31,177,4,A,0,111,\,8.0,9.2,11.3,13.0,\,\,1.78,\,D,C,-,2,2025,CVT,,
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,,S,E,F,24,321,2,A,0,92,\,9.7,10.9,13.4,15.4,\,\,1.47,\,B,B,-,2,2025,M-5,,
Médio,Hyundai,HB20S,Limited,1.0-12V T,Combustão,,S,E,F,24,321,2,A,0,92,\,9.7,10.9,13.4,15.4,\,\,1.47,\,B,B,-,2,2025,M-5,,
Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,,S,E,F,24,321,2,A,0,92,\,9.7,10.9,13.4,15.4,\,\,1.47,\,B,B,-,2,2025,M-5,,
Médio,Hyundai,HB20S,SE,1.0-12V T,Combustão,,S,E,F,24,321,2,A,0,92,\,9.7,10.9,13.4,15.4,\,\,1.47,\,B,B,-,2,2025,M-5,,
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,,S,E,F,22,68,2,A,0,48,\,9.2,10.7,13.0,15.2,\,\,1.53,\,B,C,-,2,2025,A-6,,
Médio,Hyundai,HB20S,Platinum Safety,1.0-12V T,Combustão,,S,E,F,22,68,2,A,0,48,\,9.2,10.7,13.0,15.2,\,\,1.53,\,B,C,-,2,2025,A-6,,
Médio,Hyundai,HB20S,SE,1.0-12V T,Combustão,,S,E,F,22,68,2,A,0,48,\,9.2,10.7,13.0,15.2,\,\,1.53,\,B,C,-,2,2025,A-6,,
Médio,JAC,e-JS4,e-JS4,Elétrico,Elétrico,,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,47.5,39.1,0.47,307,A,A,-,2,2025,A-1,,
Médio,Mercedes-Benz,A200 AMG LINE,,1.3-16V,Híbrido,,S,E,G,27,135,1,A,\,103,\,\,\,12.1,14.3,\,\,1.66,\,C,C,-,2,2025,DCT-7,,
