categoria,marca,modelo,motor,versao,trasmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano,
,CITROEN,C3,1.2­12V,Attraction,M­5,S,E,F,"10,6","11,3","14,8","16,6",2016,COMPACTO
,CITROEN,C3,1.2­12V,Tendance,M­5,S,E,F,"10,6","11,3","14,8","16,6",2016,COMPACTO
,CITROEN,C3,1.2­12V,Style,M­5,S,E,F,"10,6","11,3","14,8","16,6",2016,COMPACTO
,CITROEN,C3,1.5­8V,Origine,M­5,S,E,F,8,10,"11,8","14,6",2016,COMPACTO
,CITROEN,C3,1.5­8V,Attraction,M­5,S,E,F,8,10,"11,8","14,6",2016,COMPACTO
,CITROEN,C3,1.5­8V,Tendance,M­5,S,E,F,8,10,"11,8","14,6",2016,COMPACTO
,CITROEN,C3,1.6­16V,Exclusive,A­4,S,E,F,"7,9","8,8",11,"12,6",2016,COMPACTO
,,,,,,,,,,,,,2016,Página 4 / 44
,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,,,,,(CVT),,,,,,,,2016,
,CITROEN,C3,1.6­16V,Tendance,A­4,S,E,F,"7,9","8,8",11,"12,6",2016,COMPACTO
,CITROEN,C3,1.6­16V,Style,A­4,S,E,F,"7,9","8,8",11,"12,6",2016,COMPACTO
,CITROEN,DS3,1.6­16V,Sport Chic,M­6,S,E,G,\,\,"11,3","14,4",2016,COMPACTO
,FIAT,Idea,1.4­8V,Attractive,M­5,S,H,F,"6,7","7,3","9,8",11,2016,COMPACTO
,FIAT,Idea,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,"6,7","7,9",10,"11,8",2016,COMPACTO
,FIAT,Idea,1.6­16V,Essence,M­5,S,H,F,"6,8",8,"9,9","11,5",2016,COMPACTO
,FIAT,Novo Palio,1.4­8V,Attractive,M­5,S,H,F,"7,7",9,11,13,2016,COMPACTO
,FIAT,Novo Palio,1.6­16V,Essence,M­5,S,H,F,"6,9","8,2","10,1","11,9",2016,COMPACTO
,FIAT,Novo Palio,1.0­8V,Attractive,M­5,S,H,F,"7,2","8,7","10,4","12,7",2016,COMPACTO
,FIAT,Punto,1.4­8V,Attractive,M­5,S,H,F,"7,3","8,6","10,4","12,2",2016,COMPACTO
,FIAT,Punto,1.6­16V,Essence,M­5,S,H,F,"6,7","8,4","9,9",12,2016,COMPACTO
,FIAT,Punto,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,"6,9",8,"10,1","11,8",2016,COMPACTO
,FIAT,Punto,1.8­16V,Sporting,M­5,S,H,F,"6,7","7,9","9,7","11,2",2016,COMPACTO
,FIAT,Punto,1.8­16V,Blackmotion,M­5,S,H,F,"6,7","7,9","9,7","11,2",2016,COMPACTO
,FIAT,Punto,1.4­16V,Tjet,M­5,S,H,G,\,\,"9,4","10,2",2016,COMPACTO
,FIAT,Siena,1.0­8V,EL,M­5,N,H,F,"8,1","9,8","11,5","14,1",2016,COMPACTO
,FIAT,Siena,1.4­8V,EL,M­5,S,H,F,"7,3","8,5","10,8","12,5",2016,COMPACTO
,FORD,KA,1.5­16V,SE,M­5,S,E,F,"7,9","9,5","11,5","13,6",2016,COMPACTO
,FORD,KA,1.5­16V,SEL,M­5,S,E,F,"7,9","9,5","11,5","13,6",2016,COMPACTO
,FORD,KA,1.0­12V,SE,M­5,S,E,F,"8,9","10,4",13,"15,1",2016,COMPACTO
,FORD,KA,1.0­12V,SEL,M­5,S,E,F,"8,9","10,4",13,"15,1",2016,COMPACTO
,FORD,KA (2017),1.0­12V,SE,M­5,S,E,F,"9,2","10,8","13,5","15,7",2016,COMPACTO
,FORD,KA (2017),1.0­12V,SEL,M­5,S,E,F,"9,3","10,7","13,2","15,3",2016,COMPACTO
