categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Médio,HONDA,CITY,EXL,1.5-16V,CVT,S,E,F,"9,2","10,5","13,1","15,2",2022
Médio,HONDA,CITY,TOURING,1.5-16V,CVT,S,E,F,"9,2","10,5","13,1","15,2",2022
Médio,HONDA,CITY HATCH,EXL,1.5-16V,CVT,S,E,F,"9,1","10,5","13,3","14,8",2022
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,CVT,S,E,F,"9,1","10,5","13,3","14,8",2022
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,CVT,S,E,F,"8,8","9,8","12,7","13,9",2022
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,CVT,S,E,F,"8,8","9,8","12,7","13,9",2022
Médio,HONDA,HR-V,ADVANCE,1.5T-16V,CVT,S,E,F,"7,9","8,8","11,3","12,6",2022
Médio,HONDA,HR-V,TOURING,1.5T-16V,CVT,S,E,F,"7,9","8,8","11,3","12,6",2022
Médio,Hyundai,HB20S,Vision,1.0-12V,M-5,S,E,F,10,"10,6","13,7","15,2",2022
Médio,Hyundai,HB20S,Evolution,1.0-12V,M-5,S,E,F,10,"10,6","13,7","15,2",2022
Médio,Hyundai,HB20S,Vision,1.0-12V T,A-6,S,E,F,"8,6","10,9","12,3","15,5",2022
Médio,Hyundai,HB20S,Platinum,1.0-12V T,A-6,S,E,F,"8,6","10,9","12,3","15,5",2022
Médio,Hyundai,HB20S,Platinum Plus,1.0-12V T,A-6,S,E,F,"8,6","10,9","12,3","15,5",2022
Médio,Hyundai,HB20S,Platinum,1.0-12V T,M-6,S,E,F,"10,1","11,9","14,3","16,9",2022
Médio,HYUNDAI,IONIQ,HEV,1.6-16V,Automática,S,E,G,\,\,"18,9","18,8",2022
Médio,KIA,STONIC,MHEV EX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2022
Médio,KIA,STONIC,LX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2022
Médio,KIA,STONIC,SX,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2022
Médio,KIA,STONIC,GT,1.0 - 12V,DCT-7,S,E,G,\,\,"13,7","13,8",2022
Médio,MINI,Countryman,JCW,2.0 - 16V,A-8,S,E-H,G,\,\,"8,8","10,8",2022
Médio,MINI,Countryman,PHEV,1.5 - 12V,A-6,S,E-H,G,\,\,"23,3",27,2022
Médio,Renault,Zoe,Life,Elétrico,A,S,E,E,\,\,"34,4","27,4",2022
Médio,Renault,Zoe,Intense,Elétrico,A,S,E,E,\,\,"34,4","27,4",2022
Médio,Renault,Logan,ZEN16CVT,1.6-16V,CVT,S,E-H,F,"7,4","8,5","10,7","12,2",2022
Médio,Renault,Logan,LIFE,1.0-12V,M-5,S,E-H,F,"9,6","9,8","13,6","14,4",2022
Médio,Renault,Logan,ZEN,1.0-12V,M-5,S,E-H,F,"9,6","9,8","13,6","14,4",2022
Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2022
Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2022
Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,CVT,S,E,F,"8,7","9,8","12,2","13,9",2022
Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2022
Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2022
Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,CVT,S,E,F,"8,9","10,5","12,9","14,7",2022
Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,A - 6,S,E,F,"8,3",10,12,"14,4",2022
Médio,VW,T CROSS,200TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,3",10,12,"14,4",2022
Médio,VW,T CROSS,"COMFORTLINE 200TSI
AUTOMÁTICO",1.0-12V,A - 6,S,E,F,"8,3",10,12,"14,4",2022
Médio,VW,T CROSS,HIGHLINE 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,"8,2",10,"11,8","14,2",2022
Médio,VW,POLO,COMFORTLINE 200TSI AUTOMATIC,1.0-12V,A - 6,S,E,F,"8,4","10,3","12,2","15,1",2022
Médio,VW,POLO,HIGHLINE 200TSI AUTOMATIC,1.0-12V,A - 6,S,E,F,"8,4","10,3","12,2","15,1",2022
Médio,VW,POLO,MPI,1.0-12V,M - 5,S,E,F,"9,5","10,9","13,8","15,5",2022
Médio,VW,POLO,GTS 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,8,10,"11,6","14,2",2022
Médio,VW,POLO,HIGHLINE TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,4","10,5","12,1","14,9",2022
Médio,VW,POLO,MPI,1.0-12V,M - 5,S,E,F,"9,6","10,9",14,"15,4",2022
Médio,VW,POLO,TSI MANUAL,1.0-12V,M - 5,S,E,F,"9,6","11,5",14,"16,4",2022
Médio,VW,POLO,COMFORTLINE TSI AUTOMÁTICO,1.0-12V,A - 6,S,E,F,"8,7","10,8","12,5","15,3",2022
Médio,VW,VIRTUS,HIGHLINE 200TSI AUTOMATIC,1.0-12V,A - 6,S,E,F,"8,3","10,5",12,"14,9",2022
Médio,VW,VIRTUS,COMFORTLINE 200TSI AUTOMATIC,1.0-12V,A - 6,S,E,F,"8,3","10,5",12,"14,9",2022
Médio,VW,VIRTUS,GTS 250TSI AUTOMÁTICO,1.4-16V,A - 6,S,E,F,8,10,"11,9","14,7",2022
Médio,VW,VOYAGE,MPI,1.0-12V,M - 5,S,H,F,"9,5","10,9","13,8","15,6",2022
Grande,AUDI,A3 Sedan,S line,2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,6",2022
Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,6",2022
Grande,BMW,218i,-,1.5 - 12V,DCT-7,S,E-H,G,\,\,"11,2","13,6",2022
Grande,BMW,X1,S20i ActiveFlex,2.0 - 16V,A-8,S,E-H,F,"6,8","8,4","9,8","12,2",2022
Grande,BMW,X1,sDrive 20i X Line,2.0 - 16V,A-8,S,E-H,F,"6,7","8,3","9,5","11,7",2022
Grande,BMW,X1,sDrive 20i M Sport,2.0 - 16V,A-8,S,E-H,F,"6,7","8,3","9,5","11,7",2022
Grande,CAOA CHERY,ARRIZO 5 E,E,Elétrico,A,S,E,F,"27,5","24,2","39,3","34,5",2022
Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,CVT,S,E,F,"7,4","9,2","10,6","13,4",2022
Grande,CAOA CHERY,ARRIZO 6,PLUS,1.5T -16V,CVT,S,E,F,"7,4","9,2","10,6","13,4",2022
Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,6","10,5","14,3",2022
Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,6","10,5","14,3",2022
Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,6","10,5","14,3",2022
Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,6","10,5","14,3",2022
Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,A-6,S,E,F,"7,1","9,6","10,5","14,3",2022
Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,A-6,S,E,F,7,"9,2","10,4","13,3",2022
Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,A-6,S,E,F,7,"9,2","10,4","13,3",2022
Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,A-6,S,E,F,7,"9,2","10,4","13,3",2022
Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,A-6,S,E,F,7,"9,2","10,4","13,3",2022
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,A-6,S,E,F,7,"9,2","10,4","13,3",2022
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,A-6,S,E,G,\,\,"25,4","24,2",2022
Grande,KIA,NIRO,HEV 1.6 EX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2022
Grande,KIA,NIRO,HEV 1.6 LX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2022
Grande,KIA,NIRO,HEV 1.6 SX,1.6 - 16V,DCT-6,S,E,G,\,\,"19,8","17,7",2022
Grande,Lexus,UX250H,LUXURY,2.0 - 16V,CVT,S,E,G,\,\,"16,6","14,7",2022
Grande,Lexus,UX250H,DYNAMIC,2.0 - 16V,CVT,S,E,G,\,\,"16,6","14,7",2022
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,DCT-7,S,E,G,\,\,"11,1","13,6",2022
Grande,NISSAN,LEAF,TEKNA,Elétrico,A,S,E,E,\,\,"38,7","31,9",2022
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,CVT,S,E,F,"11,8","9,7","17,8","14,7",2022
