categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
"Utilitário Esportivo
Grande 4x4",Mitsubishi,Outlander Sport,HPE AWD,2.0-16V,CVT,S,E,F,"6,8","8,6","10,1","12,3",
"Utilitário Esportivo
Grande 4x4",Mitsubishi,Eclipse Cross,HPE-S S-AWC,1.5T-16V,CVT,S,E,G,\,\,"10,2","11,6",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,V6,3.0-24V,A-8,S,E,G,\,\,"7,1","9,1",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,V6 F,3.0-24V,A-8,S,E,G,\,\,"6,7","7,6",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,S,2.9-24V,A-8,S,E,G,\,\,"6,4","7,8",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,Turbo,4.0-32V,A-8,S,E,G,\,\,"5,5",7,
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,Tcoupe,4.0-32V,A-8,S,E,G,\,\,"5,5",7,
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,Coupe,3.0-24V,A-8,S,E,G,\,\,"6,4","7,4",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,CP PHE,3.0-24V,A-8,S,E,G,\,\,16,"18,1",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne,PHEV,3.0-24V,A-8,S,E,G,\,\,16,"18,1",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne (MY22),CP TSP,4.0-32V,A-8,S,E,G,\,\,"14,9",16,
"Utilitário Esportivo
Grande 4x4",PORSCHE,Cayenne (MY22),TS PHE,4.0-32V,A-8,S,E,G,\,\,"14,9",16,
"Utilitário Esportivo
Grande 4x4",PORSCHE,Macan,--,2.0-16V,DCT-7,S,E,G,\,\,"7,8","9,5",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Macan,S,3.0-24V,DCT-7,S,E,G,\,\,"6,6","7,8",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Macan,GTS,2.9-24V,DCT-7,S,E,G,\,\,"6,3","7,6",
"Utilitário Esportivo
Grande 4x4",PORSCHE,Macan,F,2.0-16V,DCT-7,S,E,G,\,\,"7,2","8,6",
"Utilitário Esportivo
Grande 4x4",SUBARU,FORESTER,S,2.0-16v,CVT,S,E,G,\,\,10,"11,6",
"Utilitário Esportivo
Grande 4x4",SUBARU,OUTBACK,3.6 R-S,3.6-24V,CVT,S,E,G,\,\,"7,6","10,4",
"Utilitário Esportivo
Grande 4x4",SUBARU,XV,S MHEV,2.0,A,S,E,G,\,\,"12,2","12,9",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,2.0 T5 MOMENTUM,2.0-16V,A-8,S,E,G,\,\,"8,5","10,3",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,2.0 T5 KINETIC,2.0-16V,A-8,S,E,G,\,\,"8,5","10,3",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,D5 MOMENTUM,2.0-16V,A-8,S,E,D,\,\,"11,8","15,6",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,D5 INSCRIPT,2.0-16V,A-8,S,E,D,\,\,"11,8","15,6",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,D5 POLESTAR,2.0-16V,A-8,S,E,D,\,\,"11,8","15,6",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,T8 INSCRIPT,2.0-16V,A-8,s,E,G,\,\,"20,4",20,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,T8 MOMENTUM,2.0-16V,A-8,s,E,G,\,\,"20,4",20,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,T8 POLESTAR,2.0-16V,A-8,s,E,G,\,\,"20,4",20,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC60,T8 R-DESIGN,2.0-16V,A-8,s,E,G,\,\,"20,4",20,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T8 EXCELLEN,2.0-16V,A-8,S,E,G,\,\,"15,5","17,4",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T8 INSCRIPT,2.0-16V,A-8,S,E,G,\,\,"15,5","17,4",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T8 MOMENTUM,2.0-16V,A-8,S,E,G,\,\,"15,5","17,4",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T8 R-DESIGN,2.0-16V,A-8,S,E,G,\,\,"15,5","17,4",
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T6 INSCRIPTION,2.0-16V,A-8,S,E,G,\,\,"7,5",9,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T6 KINETIC,2.0-16V,A-8,S,E,G,\,\,"7,5",9,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T6 MOMENTUM,2.0-16V,A-8,S,E,G,\,\,"7,5",9,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T6 R-DESIGN,2.0-16V,A-8,S,E,G,\,\,"7,5",9,
"Utilitário Esportivo
Grande 4x4",VOLVO,XC90,T6 1EDITION,2.0-16V,A-8,S,E,G,\,\,"7,5",9,
Fora de Estrada,CHEVROLET,TRAILBLAZER,PREMIER Diesel 4x4,2.8 - 16V,A-6,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,CHEVROLET,TRAILBLAZER,LT Diesel 4x4,2.8 - 16V,A-6,S,E,D,\,\,"8,2","10,4",
Fora de Estrada,FORD,Bronco Sport,Wildtrak,2.0 - 16V,A-8,S,E,G,\,\,"8,3","10,1",
Fora de Estrada,JEEP,COMPASS,TRAILHAWK,2.0 T,A-9,S,E,D,\,\,"10,2","13,4",
Fora de Estrada,JEEP,COMPASS,TRAILHAWK AT9 4X4,2.0 T,A-9,S,E,D,\,\,"10,3","12,8",
Fora de Estrada,JEEP,RENEGADE,LONGITUDE,2.0 T,A-9,S,E,D,\,\,"10,4","13,6",
Fora de Estrada,JEEP,RENEGADE,MOAB,2.0 T,A-9,S,E,D,\,\,"10,1","12,5",
Fora de Estrada,JEEP,RENEGADE,SPORT CUSTOM,2.0 T,A-9,S,E,D,\,\,"10,2","12,9",
Fora de Estrada,JEEP,RENEGADE,TRAILHAWK,2.0 T,A-9,S,E,D,\,\,"10,1","12,5",
