categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Extra Grande,BMW,320i,Active Flex,2.0 - 16V,,S,E,F,7.1,8.6,10.0,12.3,2025
Extra Grande,BMW,330e,-,2.0 - 16V,,S,E,G,\,\,9.2,10.8,2025
Extra Grande,BMW,i4,40,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,i4,M50,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,i4,eDrive35,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,IX,xDrive 40,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,iX,M60,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BMW,i5,M60 xDrive,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BYD,HAN,AWD GS 680EV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BYD,SEAL,AWD GS 590EV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BYD,TAN,AWD GS 700EV,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,BYD,SONG PRO,GS DM,1.5-16V,,S,E,G,\,\,15.2,12.2,2025
Extra Grande,BYD,SONG PRO,GL DM,1.5-16V,,S,E,G,\,\,14.8,12.6,2025
Extra Grande,BYD,KING,GS DM,1.5-16V,,S,E,G,\,\,16.8,14.7,2025
Extra Grande,BYD,KING,GL DM,1.5-16V,,S,E,G,\,\,16.3,14.3,2025
Extra Grande,CHEVROLET,EQUINOX EV,-,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,CHEVROLET,BLAZER EV,RS,Elétrico,,S,E,E,\,\,\,\,2025
Extra Grande,CHEVROLET,EQUINOX,ACTIV,1.5T -16V,,S,E,G,\,\,9.0,10.7,2025
Extra Grande,CHEVROLET,EQUINOX,RS,1.5T -16V,,S,E,G,\,\,9.0,10.7,2025
Extra Grande,FORD,Novo Territory,Titanium,1.5 - 16V,,S,E,G,\,\,9.5,11.8,2025
